class\ref,1,2,3,4,5,7,8,9,10
1,1202,3,6,36,0,1,0,11,0
2,549,7568,83,103,0,2,2,135,3
3,0,0,625,22,35,14,0,2,0
4,2,10,14,7338,133,17,0,18,7
5,0,0,0,6,1150,0,0,0,0
7,0,0,8,6,0,59,0,11,0
8,0,1,0,0,0,0,635,30,6
9,0,43,25,534,0,67,0,10927,1
10,0,28,0,2,89,0,4,0,6998

